Time,160102,150803,160105,151204,100609,140937,150608,130102,131109,150921,120838,141123,150932,151005,160112,141115,150401,140202,141110,140215,130517,140914,151104,130902,160119,151210,141217,121125,151002,150304,160118,120980,141109,141228,160104,160133,151007,121076,120924,121117,141034,151001,160204,150908,151228,110216,141111,121025,150105,150806,151229,90803,151020,150312,160101,150609,120935,80916,151016,120504,150901,151124,160128,160404,151009,150610,141230,140312,140824,140911,141040,151213,160307,160132,150108,160117,141233,150207,151209,151024,151103,120324,120503,150120,140403,151105,120925,140828,141219,151014,111015,151102,160107,151230,160108,150918,151135,141213,141222,160110,160109,150210,160135,130507,151206,160113,130913,151010,140831,131116,120266,150809,151037,151101,151018,150118,81113,140904,141237,150910,101206,130375,150507,130415,150505,150313,151013,151220,160129,150912,110927,151108,150934,160210,151224,160115,141031,150911,150902,150104,160203,110701,140134,141004,121230,140311,151030,151201,141024,150924,150504,160121,121043,150214,141025,151225,160215,110963,151131,151227,131122,151119,141220,141102,141009,151113,151019,151107,150110,150506,140908,141114,160401,160123,131019,150607,160111,151034,151215,130227,150111,140216,151128,141116,151137,151111,131079,151132,131005,151116,160137,160211,121120,151222,141205,151029,150303,151120,110910,140405,150922,160302,151219,160127,130926,160212,151129,110215,140906,141038,150933,160138,111222,150119,141118,100313,111227,151117,140948,140181,140922,160131,130822,100925,120830,120161,150928,150115,100307,151136,120923,130216,130914,100364,141007,150109,151216,140117,151109,140903,121022,130906,141209,150201,150601,101217,150402,110402,140111,160303,121038,131028,120304,160103,140406,121006,150603,150307,130908,160214,130909,141117,80101,151035,120412
2018-10-30 10:41:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1014,1078,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3111,1201,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2180,1307,0",,,,,,,,,,"3594,1165,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1017,1070,0",,,"3359,1291,0",,,,,"1816,1167,0",,,"601,1142,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2944,1196,0",,,,,,,,,,,,,
2018-10-30 10:41:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1013,1082,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3119,1200,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2116,1307,0",,,,,,,,,,"3591,1169,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1019,1070,0",,,"3360,1287,0",,,,,"1792,1175,0",,,"601,1142,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2939,1191,0",,,,,,,,,,,,,
2018-10-30 10:41:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1014,1080,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3110,1198,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3590,1166,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1008,1069,0",,,,,,,,"1775,1162,0",,,"598,1141,0",,,,,,,,,,,,,,,"2115,1309,0",,,,,,,,,,,,,,,,,,,,,"2938,1201,0",,,,,,,,,,,,,
2018-10-30 10:41:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1014,1079,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3115,1197,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3590,1168,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1008,1067,0",,,,,,,,"1748,1142,0",,,"596,1140,0",,,,,,,,,,,,,,,"2095,1308,0",,,,,,,,,,,,,,,,,,,,,"2940,1203,0",,,,,,,,,,,,,
2018-10-30 10:41:51,,,,,,,,,,,,,,,,,,,"3362,1305,0",,,,,"2540,1306,0",,,,,,"1015,1085,0",,,,,,,,,,,,,,,,,,,,,,"2940,1190,0",,,,,,,,,,,,,,,"3115,1198,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3593,1168,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1730,1108,0",,,,,,,,"1013,1068,0",,,,,,,,,,,"598,1139,0",,,,,,,,,,,,,,,"2092,1300,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-30 10:41:56,,,,,,,,,,,,,,,,,,,"3362,1304,0",,,,,"2540,1304,0",,,,,,"1014,1083,0",,,,,,,,,,,,,,,,,,,,,,"2941,1189,0",,,,,,,,,,,,,,,"3116,1196,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3589,1167,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1690,1072,0",,,,,,,,"1015,1066,0",,,,,,,,,,,"599,1137,0",,,,,,,,,,,,,,,"2082,1308,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-30 10:42:01,,,,,,,,,,,,,,,,,,,"3362,1304,0",,,,,"2539,1304,0",,,,,,"1012,1086,0",,,,,,,,,,,,,,,,,,,,,,"2942,1188,0",,,,,,,,,,,,,,,"3112,1197,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3590,1166,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1673,1046,0",,,,,,,,"1008,1068,0",,,,,,,,,,,"596,1138,0",,,,,,,,,,,,,,,"2059,1304,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-30 10:42:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1018,1085,0",,,,,,,,,,,,,,,,,,,,,,"2942,1187,0",,,,,,,,,,,,,,,"3117,1196,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3591,1165,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1013,1071,0",,,,,,,,,,,"598,1138,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-30 10:42:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1018,1084,0",,,,,,,,,,,,,,,,,,,,,,"2948,1189,0",,,,,,,,,,,,,,,"3111,1196,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3589,1164,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1017,1071,0",,,,,,,,,,,"598,1138,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-30 10:42:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1015,1085,0",,,,,,,,,,,,,,,,,,,,,,"2944,1195,0",,,,,,,,,,,,,,,"3120,1192,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3592,1160,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1012,1068,0",,,,,,,,,,,"595,1138,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
